"file","metabolite","quantMasses","intensity","rt","ri"
"e10222ch_37_Quant1_1.cdf","c15","71;85;99",9844996,1086.62,1500
"e10222ch_37_Quant1_1.cdf","c18","71;85;99",10808070,1386.82,1800
"e10222ch_37_Quant1_1.cdf","c19","71;85;99",13669450,1475.02,1900
"e10222ch_37_Quant1_1.cdf","c22","71;85;99",20288952,1715.42,2200
"e10222ch_37_Quant1_1.cdf","c28","71;85;99",20470133,2114.42,2800
"e10222ch_37_Quant1_1.cdf","c32","71;85;99",16578108,2337.22,3200
"e10222ch_37_Quant1_1.cdf","c36","71;85;99",11330674,2535.42,3600
"e10222ch_38_wash.cdf","c10","71;85;99",24641640,395.616,1000
"e10222ch_38_wash.cdf","c12","71;85;99",11725567,688.816,1200
"e10222ch_38_wash.cdf","c15","71;85;99",6823586,1086.42,1500
"e10222ch_38_wash.cdf","c18","71;85;99",11447600,1386.62,1800
"e10222ch_38_wash.cdf","c19","71;85;99",16365947,1475.02,1900
"e10222ch_38_wash.cdf","c22","71;85;99",28187314,1715.42,2200
"e10222ch_38_wash.cdf","c28","71;85;99",27781828,2114.42,2800
"e10222ch_38_wash.cdf","c32","71;85;99",24373645,2337.22,3200
"e10222ch_38_wash.cdf","c36","71;85;99",15650701,2535.22,3600
"e10222ch_39_IdentA.cdf","c10","71;85;99",19745649,393.6,1000
"e10222ch_39_IdentA.cdf","c12","71;85;99",13271875,688.4,1200
"e10222ch_39_IdentA.cdf","c15","71;85;99",74834,1071.4,1500
"e10222ch_39_IdentA.cdf","c18","71;85;99",11504684,1386.8,1800
"e10222ch_39_IdentA.cdf","c19","71;85;99",14092030,1475,1900
"e10222ch_39_IdentA.cdf","c22","71;85;99",21761803,1715.2,2200
"e10222ch_39_IdentA.cdf","c28","71;85;99",26224768,2114.4,2800
"e10222ch_39_IdentA.cdf","c32","71;85;99",18719982,2337.2,3200
"e10222ch_39_IdentA.cdf","c36","71;85;99",12612097,2535.2,3600
"e10222ch_41_IdentB.cdf","c10","71;85;99",18070322,394.216,1000
"e10222ch_41_IdentB.cdf","c12","71;85;99",11920371,688.616,1200
"e10222ch_41_IdentB.cdf","c15","71;85;99",12084600,1086.82,1500
"e10222ch_41_IdentB.cdf","c18","71;85;99",11737074,1387.02,1800
"e10222ch_41_IdentB.cdf","c19","71;85;99",15087042,1475.22,1900
"e10222ch_41_IdentB.cdf","c22","71;85;99",22730988,1715.62,2200
"e10222ch_41_IdentB.cdf","c28","71;85;99",26531928,2114.62,2800
"e10222ch_41_IdentB.cdf","c32","71;85;99",18641295,2337.42,3200
"e10222ch_41_IdentB.cdf","c36","71;85;99",11781497,2535.42,3600
"e10222ch_43_IdentC.cdf","c10","71;85;99",19629376,394.415,1000
"e10222ch_43_IdentC.cdf","c12","71;85;99",13031150,688.615,1200
"e10222ch_43_IdentC.cdf","c15","71;85;99",12138857,1086.62,1500
"e10222ch_43_IdentC.cdf","c18","71;85;99",12747985,1386.82,1800
"e10222ch_43_IdentC.cdf","c19","71;85;99",16028790,1475.22,1900
"e10222ch_43_IdentC.cdf","c22","71;85;99",23808080,1715.42,2200
"e10222ch_43_IdentC.cdf","c28","71;85;99",28271572,2114.61,2800
"e10222ch_43_IdentC.cdf","c32","71;85;99",20007097,2337.22,3200
"e10222ch_43_IdentC.cdf","c36","71;85;99",13183016,2535.42,3600
"e10222ch_45_IdentD.cdf","c10","71;85;99",20010242,394.232,1000
"e10222ch_45_IdentD.cdf","c12","71;85;99",13318310,688.432,1200
"e10222ch_45_IdentD.cdf","c15","71;85;99",12198006,1086.63,1500
"e10222ch_45_IdentD.cdf","c18","71;85;99",12607225,1386.83,1800
"e10222ch_45_IdentD.cdf","c19","71;85;99",16499677,1475.23,1900
"e10222ch_45_IdentD.cdf","c22","71;85;99",23946545,1715.43,2200
"e10222ch_45_IdentD.cdf","c28","71;85;99",23255393,2114.63,2800
"e10222ch_45_IdentD.cdf","c32","71;85;99",19144922,2337.23,3200
"e10222ch_45_IdentD.cdf","c36","71;85;99",13696372,2535.43,3600
"e10223ch_15_c8.cdf","c10","71;85;99",38199054,393.815,1000
"e10223ch_15_c8.cdf","c12","71;85;99",27354731,688.015,1200
"e10223ch_15_c8.cdf","c15","71;85;99",28606914,1086.01,1500
"e10223ch_15_c8.cdf","c18","71;85;99",38803017,1386.42,1800
"e10223ch_15_c8.cdf","c19","71;85;99",53135303,1474.82,1900
"e10223ch_15_c8.cdf","c22","71;85;99",61601609,1715.01,2200
"e10223ch_15_c8.cdf","c28","71;85;99",57628536,2114.01,2800
"e10223ch_15_c8.cdf","c32","71;85;99",50567039,2336.82,3200
"e10223ch_15_c8.cdf","c36","71;85;99",36187232,2534.82,3600
"e10223ch_16_c9.cdf","c10","71;85;99",39774503,393.815,1000
"e10223ch_16_c9.cdf","c12","71;85;99",31190237,688.015,1200
"e10223ch_16_c9.cdf","c15","71;85;99",34855926,1086.22,1500
"e10223ch_16_c9.cdf","c18","71;85;99",43743187,1386.42,1800
"e10223ch_16_c9.cdf","c19","71;85;99",57972105,1474.82,1900
"e10223ch_16_c9.cdf","c22","71;85;99",64637702,1715.22,2200
"e10223ch_16_c9.cdf","c28","71;85;99",59875415,2114.22,2800
"e10223ch_16_c9.cdf","c32","71;85;99",53006631,2337.01,3200
"e10223ch_16_c9.cdf","c36","71;85;99",37373686,2535.01,3600
"e10223ch_17_c10.cdf","c10","71;85;99",38509364,393.415,1000
"e10223ch_17_c10.cdf","c12","71;85;99",30115176,687.815,1200
"e10223ch_17_c10.cdf","c15","71;85;99",31797001,1086.01,1500
"e10223ch_17_c10.cdf","c18","71;85;99",40267784,1386.22,1800
"e10223ch_17_c10.cdf","c19","71;85;99",55787082,1474.61,1900
"e10223ch_17_c10.cdf","c22","71;85;99",62092400,1715.01,2200
"e10223ch_17_c10.cdf","c28","71;85;99",58095659,2114.01,2800
"e10223ch_17_c10.cdf","c32","71;85;99",50880037,2336.82,3200
"e10223ch_17_c10.cdf","c36","71;85;99",35221697,2534.82,3600
"e10223ch_18_c11.cdf","c10","71;85;99",38401662,393.815,1000
"e10223ch_18_c11.cdf","c12","71;85;99",30140806,688.015,1200
"e10223ch_18_c11.cdf","c15","71;85;99",33755952,1086.01,1500
"e10223ch_18_c11.cdf","c18","71;85;99",42015910,1386.42,1800
"e10223ch_18_c11.cdf","c19","71;85;99",57149978,1474.82,1900
"e10223ch_18_c11.cdf","c22","71;85;99",63434363,1715.01,2200
"e10223ch_18_c11.cdf","c28","71;85;99",57288710,2114.22,2800
"e10223ch_18_c11.cdf","c32","71;85;99",49970927,2336.82,3200
"e10223ch_18_c11.cdf","c36","71;85;99",37468382,2535.01,3600
"e10223ch_19_c12.cdf","c10","71;85;99",38250150,393.878,1000
"e10223ch_19_c12.cdf","c12","71;85;99",31220005,688.078,1200
"e10223ch_19_c12.cdf","c15","71;85;99",35142550,1086.28,1500
"e10223ch_19_c12.cdf","c18","71;85;99",42246229,1386.48,1800
"e10223ch_19_c12.cdf","c19","71;85;99",57209446,1475.08,1900
"e10223ch_19_c12.cdf","c22","71;85;99",63437373,1715.08,2200
"e10223ch_19_c12.cdf","c28","71;85;99",58269130,2114.28,2800
"e10223ch_19_c12.cdf","c32","71;85;99",50704542,2336.88,3200
"e10223ch_19_c12.cdf","c36","71;85;99",37116528,2535.08,3600
"e10223ch_20_c13.cdf","c10","71;85;99",42243797,394.215,1000
"e10223ch_20_c13.cdf","c12","71;85;99",33656022,688.215,1200
"e10223ch_20_c13.cdf","c15","71;85;99",38773419,1086.42,1500
"e10223ch_20_c13.cdf","c18","71;85;99",45136331,1386.61,1800
"e10223ch_20_c13.cdf","c19","71;85;99",64096143,1475.22,1900
"e10223ch_20_c13.cdf","c22","71;85;99",67963878,1715.42,2200
